id,smiles,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0045,CCCC0CCC(c1ccc(S(F)(F)(F)(F)(F))cc1)=CC0,14.2,,
de_cp_0046,CCCC0CCC(C1CCC(c2ccc(OC(=O)C3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,-0.82,1.114305778,2.314729735
de_cp_0047,CCCC0CCC(C1CCC(c2c(F)c(F)c(OC(=O)C3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,-3.22,0.423068444,0.889961421
de_cp_0048,CCCC0CCC(C1CCC(c2c(F)c(F)c(OC(=O)C3CC([Cl])([Cl])3)cc2)CC1)CC0,-2.62,0.06779166,0.526666754
de_cp_0049,CCCC0CCC(C1CCC(c2ccc(OCC3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,-1.58,2.16115256,2.146714167
de_cp_0050,CCCC0CCC(C1CCC(c2c(F)c(F)c(OCC3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,-4.89,2.543218775,0.752623125
de_cp_0051,CCCC0CCC(c1cc(F)c(C#Cc2ccc(C)cc2)c(F)c1)CC0,3.64,1.552568209,1.695709271
de_cp_0052,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,3.15,,1.616682204
de_cp_0053,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,3.63,1.456572283,1.536828747
de_cp_0054,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,3.08,1.455554827,1.534920512
de_cp_0055,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,3.78,1.373343111,1.508571908
de_cp_0056,CCCC0CCC(c1cc(F)c(C#Cc2ccc(OC)cc2)c(F)c1)CC0,2.72,1.319323267,0.610809738
de_cp_0057,CCCC0CCC(c1cc(F)c(C#Cc2ccc(OCC)cc2)c(F)c1)CC0,3.33,0.884279585,0.565961247
de_cp_0058,CCCC0CCC(c1cc(F)c(C#Cc2ccc(F)cc2)c(F)c1)CC0,9.2,8.447668144,7.814888691
de_cp_0059,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,3.03,1.476196069,1.571281117
de_cp_0060,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,2.67,1.44427229,1.508092572
de_cp_0061,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,2.62,1.396455133,1.549247103
de_cp_0062,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,2.51,1.300083373,1.387353891
de_cp_0063,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,2.54,1.291712066,1.105724826
de_cp_0064,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,2.28,1.339630407,1.10093933
de_cp_0065,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,2.38,1.227738221,1.071221662
de_cp_0066,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,2.32,1.137850212,0.981555339
de_cp_0067,C=CC0CCC(c1cc(F)c(C#Cc2ccc(OC)cc2)c(F)c1)CC0,2.52,1.124643687,0.722857062
de_cp_0068,C=CC0CCC(c1cc(F)c(C#Cc2ccc(F)cc2)c(F)c1)CC0,7.45,7.947048167,5.694932706
de_cp_0069,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,2.92,1.430145503,1.587198056
de_cp_0070,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,2.86,1.406778981,1.514762529
de_cp_0071,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,2.51,1.186222116,1.061821164
de_cp_0072,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,2.27,1.153954043,1.240004416
de_cp_0073,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(OC)cc2)c(F)c1)CC0,2.22,0.730288838,0.562287665
de_cp_0074,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(F)cc2)c(F)c1)CC0,7.47,7.085146673,5.40390405
de_cp_0075,CCCC0CCC(C1CCC(C(=O)Oc2cc(F)c(F)c(F)c2)CC1)CC0,11.1,14.50482778,9.459380389
de_cp_0076,CCCC0CCC(C1COC(CCC)CC1)CC0,-0.5,-0.07411914,0.097940739
de_cp_0077,CCCC0CCC(C1COC(c2ccc(C(F)(F)(F))cc2)CC1)CC0,13.2,14.99976799,13.41706102
de_cp_0078,CCCC0CCC(C1COC(c2ccc(OC(F)(F)(F))cc2)CC1)CC0,6.7,8.459130334,8.105173317
de_cp_0079,CCCC0CCC(C1COC(c2ccc(CCC)cc2)CC1)CC0,4.7,0.299343975,0.462217438
de_cp_0080,CCCC0COC(C1COC(CCC)CC1)OC0,3.6,4.358872162,4.930313833
de_cp_0081,CCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,-4.43,-0.861526967,-0.435506013
de_cp_0082,CCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCCCC)cc2)cc1)CC0,-5.56,-0.861595368,-0.373644317
de_cp_0083,CCCCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,-4.43,-0.695030833,-0.237433589
de_cp_0084,CCCCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCCCC)cc2)cc1)CC0,-5.3,-0.423615062,0.101272886
de_cp_0085,CCCC0CCC(C(=O)Oc1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,-3.83,-0.766998135,-1.39953082
de_cp_0086,CCCCCC0CCC(C(=O)Oc1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,-3.43,0.647218822,0.096536479
de_cp_0087,CCCC0CCC(c3ccc(c1c(F)c(F)c(c2c(F)c(F)ccc2)cc1)cc3)CC0,-5.56,0.128487905,1.205895199
de_cp_0088,CCC(C0CCC(C1CCC(c2ccc(OCCC)c(F)c(F)2)CC1)CC0),-5.4,-3.631245699,-2.541714222
de_cp_0089,CCCC0CCC(C1CCC(c2c(F)c(F)c3CC(C)Oc3c2)CC1)CC0,-6.7,-0.420129436,0.005010944
de_cp_0090,CCCC0CCC(C1Cc2cccc(F)c2C(F)(F)1)CC0,-7.1,-4.892545053,-3.526106038
de_cp_0091,CCCC0CCC(c1ccc(OCC)c(F)c(F)1)CC0,-5.4,-5.302127175,-4.046360109
de_cp_0092,CCCC0CCC(C1Cc2ccc(F)c(F)c2C(F)(F)1)CC0,-8.6,-2.968737698,-2.394587095
de_cp_0093,CCCC0CCC(C1Cc2cc(C)c(F)c(F)c2C(F)(F)1)CC0,-9.9,-5.852258861,-5.365214295
de_cp_0094,CCCC0CCC1CC(c2cc(F)c(F)cc2)CCC1C0,5.4,3.154474512,3.577135101
de_cp_0095,CCCC3CCC(C0CCC1CC(c2cc(F)c(F)cc2)CCC1C0)CC3,5.7,4.489217974,4.650088575
de_cp_0096,CCCC0CCC(C1CCc2c(F)c(F)ccc2C1)CC0,7.4,6.759800638,7.004831094
de_cp_0097,CCCC3CCC(C4CCC(CCC0CCC(C1CCc2c(F)c(F)ccc2C1)CC0)CC4)CC3,9.7,3.932631957,3.207490053
