filename,smiles,reason,T_K,P2,kirk_g,density_kg_m3,iterations,converge,molar_mass_g_mol,energy_Eh,mu_x_D,mu_y_D,mu_z_D,mu_mag_D,mu_angle_x_deg,pol_iso_A3,pol_aniso_A3,delta_eps,eps_parallel,eps_perpendicular,eps_static,dip_angle_longaxis_deg,expde
de_cp_0001.property.txt,CCCC0CCC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,298,0.6,1,1000,25,0.001,338.222134,-1117.02447,-2.743242136,-0.820721741,-2.408347189,3.74153682,137.1541506,34.67756709,15.47321344,2.748619885,8.423995467,5.675375582,6.59158221,42.81155863,9.7
de_cp_0002.property.txt,CCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,298,0.6,1,1000,25,0.001,404.213855,-1430.045291,-4.529294095,0.226325481,-0.053654728,4.535262623,177.060201,37.62670688,20.08984337,9.866232437,14.02936279,4.163130355,7.4518745,5.391766808,10.5
de_cp_0003.property.txt,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)OC1)CC0,,298,0.6,1,1000,25,0.001,342.180664,-1188.839623,-5.603319556,-1.234137771,1.309585352,5.885176283,162.1958678,33.04598452,18.31301556,19.05473038,26.18886648,7.134136101,13.48571289,13.56763866,17
de_cp_0004.property.txt,CCCc0ccc(c1cc(F)c(C(F)(F)Oc2cc(F)c(F)c(F)c2)c(F)c1)cc0,,298,0.6,1,1000,25,0.001,428.101111,-1621.303881,6.936038615,-0.255428547,0.019314719,6.940767138,2.115053338,41.42890572,35.54182126,23.29299481,30.36456054,7.07156573,14.83589733,177.2809995,25.2
de_cp_0005.property.txt,CCCC0COC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,298,0.6,1,1000,25,0.001,340.201399,-1152.933467,4.833635942,0.803569799,-1.237652031,5.053864204,16.97665802,34.061708,17.7492362,14.41209659,20.13021614,5.718119557,10.52215175,168.336065,15
de_cp_0006.property.txt,CCCC0COC(c1ccc(c2cc(F)c(F)c(F)c2)cc1)CC0,,298,0.6,1,1000,25,0.001,334.154449,-1149.325611,4.996227832,-0.431871641,1.2921785,5.178661114,15.25331275,36.17765179,27.05757857,15.55007817,21.82456783,6.274489661,11.45784905,165.8727071,15.6
de_cp_0007.property.txt,CCCC0COC(c1ccc(c3cc(F)c(C(F)(F)O(c2cc(F)c(F)c(F)c2))c(F)c3)cc1)CC0,,298,0.6,1,1000,25,0.001,512.158626,-1891.817284,-8.194206331,-0.833866747,-0.684699796,8.264935872,172.4988386,51.01297962,43.62188878,27.42124438,35.75221333,8.33096895,17.47138374,7.102548883,26
de_cp_0008.property.txt,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)CC1)CC0,,298,0.6,1,1000,25,0.001,340.201399,-1152.933784,4.555431361,1.668123428,-0.691854178,4.900331913,21.62482478,34.24140082,20.32618057,12.01960537,18.0184609,5.998855535,10.00539066,160.1337961,12.7
de_cp_0009.property.txt,CCCC0COC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,298,0.6,1,1000,25,0.001,406.19312,-1465.955329,5.346094076,0.847238871,-1.169024896,5.537612733,15.11268296,36.54278628,18.77956009,12.86651089,18.7834799,5.916969011,10.20580597,162.002655,14
de_cp_0010.property.txt,CCCC0CCC(C1COC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,298,0.6,1,1000,25,0.001,406.19312,-1465.940507,-4.061121449,-0.787867783,0.879549135,4.229308424,163.7875385,36.42175016,17.59928036,7.715475686,11.71786839,4.002392703,6.574217932,14.32804974,12.4
de_cp_0011.property.txt,CCCC0COC(C1CCC(C(F)(F)(F))CC1)CC0,,298,0.6,1,1000,25,0.001,278.185749,-961.2766599,-3.708888314,-0.933459367,-0.757433261,3.898833679,162.04176,25.54073038,10.78963057,9.541266542,14.2116223,4.670355753,7.850777934,15.52547243,10.5
de_cp_0012.property.txt,CCCC0CCC(C1COC(C(F)(F)(F))CC1)CC0,,298,0.6,1,1000,25,0.001,278.185749,-961.2693506,-3.481247684,-1.896982329,-0.781231748,4.040785869,149.4885126,25.45536976,9.795756389,7.851730997,13.54492957,5.693198574,8.31044224,152.407563,8.8
de_cp_0013.property.txt,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1)CC0,,298,0.6,1,1000,25,0.001,548.139782,-2090.301391,9.303282583,0.039142078,0.661137429,9.326826986,4.071982577,50.68921191,41.94711934,32.41036849,41.65625656,9.245888077,20.04934424,174.9020095,35.6
de_cp_0014.property.txt,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1)CC0,,298,0.6,1,1000,25,0.001,555.144453,-2083.294486,13.21234378,0.540045339,1.180752566,13.27598786,5.612506744,54.33969161,49.75781461,66.70699143,83.84699866,17.14000722,39.37567103,174.836315,66.6
de_cp_0015.property.txt,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc4cc(F)c(c3cc(F)c(F)c(F)c3)cc4)c(F)c2)c(F)c1)CC0,,298,0.6,1,1000,25,0.001,642.16166,-2420.551433,-10.48929202,1.145365697,-0.480668384,10.56258263,173.2465114,63.04670119,53.64729955,35.78464873,46.06880382,10.28415508,22.21237133,7.031601102,37.1
de_cp_0016.property.txt,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc4cc(F)c(c3cc(F)c(C#N)c(F)c3)cc4)c(F)c2)c(F)c1)CC0,,298,0.6,1,1000,25,0.001,649.166331,-2413.541621,-13.72217906,0.842702047,-0.133456784,13.74867832,176.4420993,67.0789802,67.5839531,62.53914521,78.53022756,15.99108236,36.83746409,3.694914671,70.3
de_cp_0017.property.txt,CCCC0COC(C1COC(c2ccc(c3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)cc2)CC1)OC0,,298,0.6,1,1000,25,0.001,598.195406,-2198.23679,6.311334147,0.142153037,0.614903034,6.342811044,5.710478066,56.79573722,28.01788153,11.62755011,17.16809763,5.540547519,9.416397555,162.3384618,35.6
de_cp_0018.property.txt,CCCCCC0CCC(c1ccc(c2ccc(F)nc(F)2)cc1)CC0,,298,0.6,1,1000,25,0.001,343.211155,-1108.844287,-4.378320965,-1.04702618,0.97873888,4.606939124,161.8741116,39.56099157,26.9687963,7.41233218,14.38897629,6.976644111,9.447421505,146.3722304,2.3
de_cp_0019.property.txt,CCCCCC0CCC(c1ccc(c2ccc(OCC)c(F)c(F)2)cc1)CC0,,298,0.6,1,1000,25,0.001,386.242121,-1246.591132,-0.512483364,-2.632070041,2.394922959,3.595286898,98.19503171,45.76369327,34.06936656,-2.63279911,4.278155647,6.910954757,6.033355054,88.46673034,-4.1
de_cp_0020.property.txt,CCCC0CCC(C1CCC(c2nc(F)c(OCC)cc2)CC1)CC0,,298,0.6,1,1000,25,0.001,347.262442,-1088.405019,3.092470558,2.570586836,-0.832509704,4.106624312,41.14521162,38.51909683,18.64531399,3.38262291,9.934119825,6.551496915,7.679037885,137.3453469,-6.1
de_cp_0021.property.txt,CCCC0CCC(C1CCC(COc2nc(F)c(OCC)cc2)CC1)CC0,,298,0.6,1,1000,25,0.001,377.273007,-1202.920813,-0.320383135,-1.729278995,-2.32474911,2.91504882,96.3099321,41.68399317,26.67284942,-1.342780437,3.650481679,4.993262116,4.545668637,78.64126349,-2.7
de_cp_0022.property.txt,CCCC0CCC(C1CCC(COc2c(F)nc(OCC)cc2)CC1)CC0,,298,0.6,1,1000,25,0.001,377.273007,-1202.920598,-0.205325587,2.289547387,-0.144169364,2.303252188,95.1144757,41.59085906,24.02352889,-0.725062368,3.082351794,3.807414161,3.565726705,81.2860885,-2.1
de_cp_0023.property.txt,CCCC0CCC(C1CCC(COc2c(F)c(F)c(OCC)cc2)CC1)CC0,,298,0.6,1,1000,25,0.001,394.268336,-1286.098009,0.107023557,2.734815193,-3.602626382,4.524332551,88.64453594,42.31783081,26.15956527,-4.609170948,4.90813943,9.517310379,7.980920063,92.68794962,-6
de_cp_0024.property.txt,CCCCCC0CCC(C(=O)Oc1ccc(OCC)nc(F)1)CC0,,298,0.6,1,1000,25,0.001,337.205322,-1120.957716,0.08711841,-1.62534189,0.583928967,1.729248078,87.11225292,35.36890353,19.92198439,-0.35322822,2.673471803,3.026700022,2.908957282,86.8846113,-1.1
de_cp_0025.property.txt,CCCCCC0CCC(C(=O)Oc1ccc(OCC)c(F)n1)CC0,,298,0.6,1,1000,25,0.001,337.205322,-1120.949204,1.543538987,1.976445484,1.608237061,2.979140111,58.79406519,35.6074091,19.79352765,-0.820801584,4.34373319,5.164534773,4.890934245,113.9616413,-5.3
de_cp_0026.property.txt,CCCCCC0CCC(C(=O)Oc1ccc(OCC)c(F)c(F)1)CC0,,298,0.6,1,1000,25,0.001,354.200651,-1204.130784,1.805433286,-0.165119001,-3.182670211,3.662819038,60.46809553,35.95079804,22.04956416,-1.005220291,5.482316064,6.487536355,6.152462925,116.4886918,-4.6
