id,xyz_file,smiles,name,status,reason,ff_used,min_energy_kcal,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0031,de_cp_0031.xyz,CCCCCc0ccc(c1cc(F)c(c2ccc4OC(F)(F)CCc4c2)c(F)c1)cc0,,ok,ok,mmff,50.082726,18.7,12.07943855,9.103134029
de_cp_0032,de_cp_0032.xyz,CCCCCc0ccc(c1cc(F)c(c2cc(F)c4OC(F)(F)CCc4c2)cc1)cc0,,ok,ok,mmff,61.033232,18.3,11.89867258,9.414456401
de_cp_0033,de_cp_0033.xyz,CCCc0ccc(c2cc(F)c4OC(c3cc(F)c(F)c(F)c3)CCc4c2)cc0,,ok,ok,mmff,77.629601,17.7,8.218735851,4.079115628
de_cp_0034,de_cp_0034.xyz,CCCCc0ccc(c1ccc(C#Cc2c(F)cc(CCCC)cc(F)2)cc1)cc0,,ok,ok,mmff,59.144736,3.6,1.384282703,1.321374563
de_cp_0035,de_cp_0035.xyz,CC(c0ccc(C#Cc2ccc(C#Cc3ccc(CC)cc(F)3)cc2)c(F)c0),,ok,ok,mmff,60.098025,1.4,1.330629206,1.870536016
de_cp_0036,de_cp_0036.xyz,CCCCC(c0ccc(C#C(c1cc(F)c(N=C=S)c(F)c1))cc0),,ok,ok,mmff,34.893182,18.3,14.16523631,21.75962332
de_cp_0037,de_cp_0037.xyz,S=C=Nc0ccc(c1ccc(C#Cc2c(F)cc(CCCC)cc(F)2)cc1)cc0,,ok,ok,mmff,52.679828,15.8,10.62615406,14.27202567
de_cp_0038,de_cp_0038.xyz,CCCc0cc(F)c(C#Cc1ccc(S(F)(F)(F)(F)(F))cc1)cc0,,ok,ok,uff,21.331155,21.6,,
de_cp_0039,de_cp_0039.xyz,CCCc2ccc(c0cc(F)c(C#Cc1ccc(S(F)(F)(F)(F)(F))cc1)cc0)cc2,,ok,ok,uff,38.709959,20.6,,
de_cp_0040,de_cp_0040.xyz,CCCC0CCC(C1CCC(C(F)(F)(F))CC1)CC0,,ok,ok,mmff,24.622231,6.8,7.10026847,5.737887193
de_cp_0041,de_cp_0041.xyz,CCCC0CCC(C1CCC(C2CCC(F)(F)CC2)CC1)CC0,,ok,ok,mmff,35.538323,3.1,3.254347516,3.863871147
de_cp_0042,de_cp_0042.xyz,CCCC0CSC(c1ccc(S(F)(F)(F)(F)(F))cc1)SC0,,ok,ok,uff,19.679157,22.3,,
de_cp_0043,de_cp_0043.xyz,CCCc0ccc(c1ccc(S(F)(F)(F)(F)(F))cc1)cc0,,ok,ok,uff,27.526011,15.8,,
de_cp_0044,de_cp_0044.xyz,CCCCCc0ccc(C#C(c1ccc(S(F)(F)(F)(F)(F))cc1))cc0,,ok,ok,uff,22.611102,16.4,,
de_cp_0045,de_cp_0045.xyz,CCCC0CCC(c1ccc(S(F)(F)(F)(F)(F))cc1)=CC0,,ok,ok,uff,28.511674,14.2,,
de_cp_0046,de_cp_0046.xyz,CCCC0CCC(C1CCC(c2ccc(OC(=O)C3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,,ok,ok,mmff,8.889134,-0.82,1.114305778,2.341028711
de_cp_0047,de_cp_0047.xyz,CCCC0CCC(C1CCC(c2c(F)c(F)c(OC(=O)C3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,,ok,ok,mmff,16.138379,-3.22,0.423068444,0.867390206
de_cp_0048,de_cp_0048.xyz,CCCC0CCC(C1CCC(c2c(F)c(F)c(OC(=O)C3CC([Cl])([Cl])3)cc2)CC1)CC0,,ok,ok,mmff,44.064745,-2.62,0.06779166,0.605828854
de_cp_0049,de_cp_0049.xyz,CCCC0CCC(C1CCC(c2ccc(OCC3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,,ok,ok,mmff,31.192166,-1.58,2.16115256,2.121325544
de_cp_0050,de_cp_0050.xyz,CCCC0CCC(C1CCC(c2c(F)c(F)c(OCC3CC(C(F)(F)(F))(C(F)(F)(F))3)cc2)CC1)CC0,,ok,ok,mmff,51.171469,-4.89,2.543218775,0.884256496
de_cp_0051,de_cp_0051.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(C)cc2)c(F)c1)CC0,,ok,ok,mmff,49.350044,3.64,1.552568209,1.701375404
de_cp_0052,de_cp_0052.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,,ok,ok,mmff,48.426416,3.15,,1.626255552
de_cp_0053,de_cp_0053.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,,ok,ok,mmff,48.163533,3.63,1.456572283,1.544888422
de_cp_0054,de_cp_0054.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,47.959335,3.08,1.455554827,1.530505176
de_cp_0055,de_cp_0055.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,49.136767,3.78,1.373343111,1.493544797
de_cp_0056,de_cp_0056.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(OC)cc2)c(F)c1)CC0,,ok,ok,mmff,49.879881,2.72,1.319323267,0.644731273
de_cp_0057,de_cp_0057.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(OCC)cc2)c(F)c1)CC0,,ok,ok,mmff,47.659888,3.33,0.884279585,0.564480642
de_cp_0058,de_cp_0058.xyz,CCCC0CCC(c1cc(F)c(C#Cc2ccc(F)cc2)c(F)c1)CC0,,ok,ok,mmff,43.308462,9.2,8.447668144,7.805582759
de_cp_0059,de_cp_0059.xyz,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,,ok,ok,mmff,48.831978,3.03,1.476196069,1.580872583
de_cp_0060,de_cp_0060.xyz,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,,ok,ok,mmff,49.076625,2.67,1.44427229,1.520677298
de_cp_0061,de_cp_0061.xyz,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,47.741444,2.62,1.396455133,1.529191008
de_cp_0062,de_cp_0062.xyz,CCCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,49.158266,2.51,1.300083373,1.392585651
de_cp_0063,de_cp_0063.xyz,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,,ok,ok,mmff,57.455711,2.54,1.291712066,1.110046948
de_cp_0064,de_cp_0064.xyz,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,,ok,ok,mmff,56.754241,2.28,1.339630407,1.098721213
de_cp_0065,de_cp_0065.xyz,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,56.989911,2.38,1.227738221,1.067058327
de_cp_0066,de_cp_0066.xyz,C=CC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,57.512365,2.32,1.137850212,0.974534905
de_cp_0067,de_cp_0067.xyz,C=CC0CCC(c1cc(F)c(C#Cc2ccc(OC)cc2)c(F)c1)CC0,,ok,ok,mmff,58.485275,2.52,1.124643687,0.717123441
de_cp_0068,de_cp_0068.xyz,C=CC0CCC(c1cc(F)c(C#Cc2ccc(F)cc2)c(F)c1)CC0,,ok,ok,mmff,51.880324,7.45,7.947048167,5.699908119
